@RELATION FEATURE_VALUES-SAT11-INDU

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE cluster_coeff_entropy NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC

@DATA
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.180-SAT.cnf,1,733825.0,13169160.0,587927.0,10311015.0,0.2482,0.2772,0.057,0.7896,0.5031,0.0,1.0,0.6483,0.0,3.3399,0.0,0.0023,0.1785,0.0,0.9608,0.9978,0.0,1.9081,0.0,0.0004,1.7385,0.4264,0.3261,0.0,0.9938,1.6503,0.0,2.1752,0.0,0.0004,1.6658,0.9608,0.0001,0.6925,0.0,0.0005,?,?,?,?,?,?,?,?,?,?,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9613,0.1005,0.0003,0.999,0.9945,0.9482,0.9919,0.962,0.9835,0.0353,1.1998,0.0,0.5,0.0731,0.0087,0.0575,0.0104,0.0142,2443200.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0417,0.0,30.5712,0.0,1244900.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2696,0.0,1.9702,0.0,0.1952,0.276
./SAT07/industrial/jarvisalo/eq.atree.braun.12.unsat.cnf,1,1694.0,5726.0,1165.0,4834.0,0.4541,0.1845,0.241,0.3448,0.8349,0.0,1.0,1.1951,0.0026,0.3811,0.0017,0.0215,0.9511,0.0,0.217,0.8775,0.0026,0.2991,0.0014,0.0052,2.4287,0.0776,0.0901,0.0,0.5,2.0475,0.0011,0.5948,0.0004,0.005,1.9744,0.5004,0.0019,0.5956,0.001,0.0072,0.0034,0.4014,0.001,0.0296,2.8826,0.2707,0.3405,0.015,0.5662,3.4677,8.9931,0.0716,7.0,10.0,0.9718,738.5,0.303,532.0,1358.0,1167.0,545.0,767.0,607.0,668.0,38.5745,0.2788,25.9799,56.928,56.0982,26.6543,48.7245,28.678,36.1189,0.2379,0.8037,0.0,0.8527,0.5429,0.0412,0.3456,0.0982,0.1759,0.0486,0.9361,0.0,0.3218,0.072,0.0052,0.0561,0.0293,0.0455,60.5861,0.4044,243.474,0.0555,244.0,230.0,257.0,0.8086,0.2693,0.8347,0.0445,67.4758,0.0956,244.028,0.0448,244.0,229.0,258.0,0.4399,0.2713,0.8459,0.0201,0.2252,0.9708
./SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,26061.0,742909.0,25957.0,742878.0,0.004,0.0,0.0349,0.0538,2.8639,0.0,1.0,0.4399,0.0001,0.1466,0.0001,0.0002,0.5907,0.0,0.0599,0.1821,0.0001,1.308,0.0,0.0011,5.1632,0.0223,0.0361,0.0,0.5,1.7163,0.0,2.322,0.0,0.0006,2.6061,0.1144,0.0002,0.9599,0.0,0.0007,?,?,?,?,?,?,?,?,?,?,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1995,1.1245,0.0,1.0,0.4945,0.0098,0.341,0.0271,0.1002,0.0244,2.0156,0.0,0.2793,0.1005,0.0,0.0192,0.0,0.0006,4388.0,1.4036,4325.0,1.4142,4325.0,0.0,0.0,5.9227,1.0952,1.0615,0.1487,847.0,0.6169,8635.33,0.0096,8640.0,8550.0,8640.0,1.5384,1.0493,0.9624,0.008,0.2681,0.4539
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom19.cnf,1,40286.0,134663.0,15806.0,87498.0,1.5488,0.539,0.1806,0.4287,0.6773,0.0,1.0,1.5239,0.0002,0.7111,0.0001,0.0023,1.3504,0.0,0.1279,0.7225,0.0002,1.9911,0.0001,0.0043,2.4355,0.2013,0.2438,0.0,0.875,2.2716,0.0001,2.2246,0.0,0.0015,2.3075,0.381,0.0003,1.7457,0.0001,0.0057,?,?,?,?,?,?,?,?,?,?,5.4613,0.0978,4.0,6.0,0.7721,1561.0,0.3772,873.0,2373.0,2373.0,873.0,2373.0,1148.0,1850.0,31.0699,0.1443,25.5384,38.0524,38.0524,25.5384,38.0524,30.2714,30.4172,0.2703,0.8949,0.0,0.9832,0.5946,0.0014,0.5594,0.0394,0.1569,0.1061,0.7067,0.0,0.2404,0.2402,0.0264,0.1706,0.0617,0.0731,585.833,1.7182,3606.0,0.49,4323.5,0.0,4360.0,0.7975,0.9141,0.932,0.2154,496.733,0.0786,4384.93,0.0121,4397.0,4314.0,4433.0,0.1417,0.2514,0.8832,0.0077,0.0717,0.2552
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf,1,266663.0,768347.0,47208.0,235550.0,4.6487,2.2619,0.2004,0.4843,0.7402,0.0,1.0,1.4799,0.0001,0.6103,0.0,0.0014,1.3327,0.0,0.2604,0.7876,0.0001,3.3066,0.0,0.0085,2.5401,0.1025,0.1487,0.0,0.9692,2.0293,0.0,3.28,0.0,0.0055,2.1823,0.5949,0.0001,3.187,0.0,0.0074,?,?,?,?,?,?,?,?,?,?,8.8132,0.0442,8.0,9.0,0.4816,30.9231,0.805,5.0,92.0,70.0,8.0,34.0,9.0,31.0,4.8564,0.6306,2.0,12.0,9.5152,2.0,5.3143,3.0,3.375,0.3552,0.6495,0.0,0.9997,0.6399,0.0449,0.5383,0.1443,0.3503,0.0578,0.9173,0.0,0.4998,0.1187,0.02,0.0588,0.028,0.0499,2493.0,0.0,11591.0,0.0,11591.0,11591.0,11591.0,1.309,0.0,0.8926,0.0,2126.75,0.1762,11576.5,0.0058,11604.5,11477.0,11611.0,0.4754,0.6919,0.8881,0.0112,0.1621,0.365
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom18.cnf,1,36410.0,121578.0,14260.0,78857.0,1.5533,0.5418,0.1808,0.4305,0.678,0.0,1.0,1.5243,0.0003,0.7096,0.0001,0.0025,1.3547,0.0,0.1305,0.7229,0.0003,1.9345,0.0001,0.0045,2.4545,0.2012,0.244,0.0,0.875,2.2958,0.0001,2.1569,0.0,0.0016,2.3203,0.3813,0.0003,1.7017,0.0001,0.006,?,?,?,?,?,?,?,?,?,?,5.4545,0.0971,4.0,6.0,0.764,1203.6667,0.2772,932.0,1899.0,1899.0,932.0,1310.0,984.0,1087.0,28.1605,0.1004,24.9818,33.8246,33.8246,24.9818,28.9393,26.1941,28.002,0.269,0.8934,0.0,0.9882,0.5943,0.0016,0.5526,0.0393,0.157,0.1053,0.7123,0.0,0.2404,0.2402,0.0253,0.1705,0.0613,0.073,216.833,0.6721,3912.67,0.0208,3929.0,3805.0,3984.0,0.5586,0.2907,0.8599,0.0166,451.176,0.0776,3918.47,0.0111,3919.0,3846.0,3953.0,0.153,0.5254,0.882,0.0061,0.0764,0.3103
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,196306.0,582994.0,32750.0,247614.0,4.9941,1.3544,0.1323,0.3756,0.692,0.0,1.0,1.7696,0.0001,0.3744,0.0001,0.0015,1.6206,0.0,0.1194,0.468,0.0001,2.0163,0.0,0.0142,2.9961,0.1713,0.1496,0.0,0.9658,2.8827,0.0,2.377,0.0,0.0071,2.5155,0.4435,0.0001,1.7597,0.0,0.0083,?,?,?,?,?,?,?,?,?,?,7.3662,0.0654,7.0,8.0,0.6569,359.4667,1.1178,89.0,1444.0,1294.0,119.0,257.0,188.0,210.0,14.4616,0.3959,9.019,29.9928,21.7805,9.1748,18.8527,9.6432,12.1176,0.5682,0.4113,0.0,1.0,0.8292,0.1894,0.7335,0.4453,0.6142,0.0797,0.7515,0.0,0.4444,0.1457,0.0006,0.1191,0.0282,0.0778,3603.0,1.1336,4575.5,1.4142,4575.5,0.0,0.0,1.757,0.8797,1.1297,0.3123,1884.83,0.8037,7488.5,0.4901,8952.5,0.0,9029.0,0.6209,1.4866,0.963,0.1539,0.0268,0.1065
./SAT09/APPLICATIONS/bitverif/maxor/maxor128.cnf,1,200308.0,598619.0,72981.0,341039.0,1.7447,0.7553,0.214,0.4387,0.7789,0.0,1.0,1.3966,0.0,1.0202,0.0,0.0018,1.221,0.0,0.2671,0.826,0.0,2.378,0.0,0.0021,2.1095,0.1641,0.1814,0.0,0.8483,2.2843,0.0,1.6769,0.0,0.0009,1.7529,0.5216,0.0,3.0828,0.0,0.0022,?,?,?,?,?,?,?,?,?,?,6.7455,0.0858,5.0,7.0,0.5965,153.0,0.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,25.3072,0.0,25.3072,25.3072,25.3072,25.3072,25.3072,25.3072,25.3072,0.2938,0.701,0.0,0.9314,0.5304,0.01,0.5153,0.1464,0.2573,0.0606,0.7679,0.0,0.4592,0.1325,0.0233,0.0977,0.0246,0.0305,26856.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8009,0.0,2.2756,0.0,17552.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7709,0.0,1.5846,0.0,0.2134,0.6036
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.120-NOTKNOWN.cnf,1,489685.0,8779920.0,343787.0,5921775.0,0.4244,0.4827,0.0581,0.786,0.5086,0.0,1.0,0.656,0.0,3.2944,0.0,0.0039,0.1822,0.0,0.9602,0.9977,0.0,1.8993,0.0,0.0007,1.9226,0.425,0.3246,0.0,0.9938,1.7796,0.0,2.1695,0.0,0.0007,1.8472,0.9602,0.0001,0.7131,0.0,0.0009,?,?,?,?,?,?,?,?,?,?,89.8,0.0045,89.0,90.0,0.5004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9602,0.103,0.0003,0.999,0.9944,0.9474,0.9916,0.9617,0.9831,0.0359,1.1975,0.0,0.5,0.0741,0.0088,0.0577,0.0106,0.0146,1357670.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0969,0.0,14.0842,0.0,356190.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3806,0.0,1.3293,0.0,0.2399,0.3936
./SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k80.cnf,1,165064.0,686589.0,76755.0,492233.0,1.1505,0.3948,0.1559,0.3633,1.0307,0.0,1.0,1.796,0.0,0.6191,0.0,0.0002,1.5008,0.0,0.5118,0.7262,0.0,1.3111,0.0,0.0007,3.1956,0.2093,0.1635,0.0,0.9111,3.2477,0.0,1.1895,0.0,0.0003,2.8203,0.603,0.0,0.9339,0.0,0.0005,?,?,?,?,?,?,?,?,?,?,70.5,0.049,65.0,76.0,2.4849,59.1,1.0145,21.0,222.0,222.0,22.0,50.0,23.0,35.0,6.2933,0.3325,3.0,9.0,9.0,3.6957,8.5517,4.0,6.38,0.5281,0.6029,0.0,0.9909,0.9106,0.0681,0.8414,0.2011,0.5813,0.0447,1.2315,0.0,0.2649,0.1254,0.0024,0.0677,0.0068,0.0191,28487.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2044,0.0,1.5452,0.0,3844.0,0.0125,24598.5,0.0016,24598.5,24570.0,24570.0,0.9183,0.1742,0.9439,0.0005,0.0774,0.2195
