@RELATION FEATURE_VALUES-SAT11-RANDOM

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE cluster_coeff_entropy NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC

@DATA
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S980027332-029-UNKNOWN.cnf,1,15000.0,63000.0,14607.0,62536.0,0.0269,0.0074,0.2336,0.4939,0.5877,0.0,1.0,0.7124,0.0002,0.0643,0.0002,0.0004,0.1614,0.0,0.0,0.9634,0.0002,0.2863,0.0,0.0006,2.706,0.2288,0.1699,0.0,1.0,3.3644,0.0001,0.4016,0.0,0.0004,2.3267,0.4894,0.0004,0.2897,0.0001,0.0011,0.0003,0.2426,0.0001,0.0009,2.9552,0.1023,0.2409,0.037,0.4,2.2421,5.0899,0.0562,5.0,6.0,0.3023,11.1792,0.3326,5.0,21.0,17.0,7.0,13.0,8.0,11.0,64.8077,0.2001,36.0,109.1667,79.3077,49.5,74.1818,56.4,63.0,0.3945,0.5725,0.0001,1.0,0.702,0.0894,0.5691,0.2088,0.3916,0.0923,0.6521,0.0016,0.7135,0.1749,0.0284,0.1236,0.0474,0.0795,783.125,1.3476,2786.38,0.4043,3187.0,0.0,3217.0,0.8341,0.9577,0.9661,0.3501,263.417,0.147,3174.92,0.0135,3167.0,3132.0,3221.0,0.0894,0.5537,0.8259,0.0083,0.2304,0.2906
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S942849-099.UNKNOWN.cnf,1,700.0,2982.0,692.0,2973.0,0.0116,0.003,0.2328,0.4917,0.5813,0.0,1.0,0.6214,0.0044,0.0392,0.0043,0.0058,0.0742,0.0,0.0,0.9859,0.0044,0.2746,0.001,0.0098,2.6532,0.2288,0.166,0.0,1.0,3.3421,0.0022,0.3858,0.0,0.0057,2.3158,0.5076,0.0086,0.2729,0.002,0.0188,0.0065,0.2292,0.0017,0.0124,2.8998,0.1075,0.2449,0.0555,0.3333,2.273,4.0145,0.0297,4.0,5.0,0.0757,3645.1429,0.033,3462.0,3810.0,3810.0,3462.0,3711.0,3472.0,3688.0,36.1175,0.0646,33.1688,40.6055,40.6055,33.1688,38.2519,34.3506,35.3213,0.3827,0.5891,0.0005,1.0,0.7003,0.0811,0.5568,0.1883,0.3764,0.0865,0.7149,0.0013,0.7851,0.1666,0.025,0.1184,0.043,0.0714,28.7795,0.2041,151.591,0.0623,152.0,140.0,163.0,0.8947,0.2021,0.8576,0.0322,22.4568,0.4415,151.736,0.0655,152.0,140.0,164.0,0.2811,0.3567,0.8392,0.0398,0.2994,0.5045
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1008065350-031.UNKNOWN.cnf,1,450.0,1917.0,439.0,1907.0,0.0251,0.0052,0.2302,0.4944,0.595,0.0,1.0,0.7177,0.0069,0.0611,0.0068,0.0091,0.1539,0.0,0.0,0.9643,0.0069,0.2873,0.0026,0.0147,2.706,0.2186,0.1541,0.0,1.0,3.3049,0.0034,0.3815,0.0,0.0084,2.3078,0.4971,0.0136,0.2818,0.0052,0.0288,0.0106,0.228,0.0037,0.0215,2.923,0.1067,0.2357,0.0523,0.25,2.2504,4.0,0.0,4.0,4.0,0.0,3902.8571,0.0241,3793.0,4049.0,4049.0,3793.0,4036.0,3818.0,3869.0,25.9144,0.0693,23.5001,29.0163,29.0163,23.5001,27.694,24.2236,25.7924,0.3947,0.5618,0.0,1.0,0.6828,0.0808,0.5662,0.2094,0.4099,0.0842,0.6788,0.0044,0.3322,0.1675,0.0255,0.1148,0.0404,0.0696,16.9488,0.2541,97.803,0.0723,98.0,89.0,107.0,0.9481,0.1976,0.8541,0.0383,13.8122,0.2403,97.759,0.0742,98.0,88.0,107.0,0.3571,0.3659,0.8423,0.0364,0.3212,0.533
SAT11/random/large/unif-k7-r85-v400-c34000-S536077088-015-UNKNOWN.cnf,1,400.0,34000.0,400.0,34000.0,0.0,0.0,0.0118,0.3112,0.6782,0.1429,1.0,0.9975,0.0175,0.0,0.0175,0.0175,0.0,0.0,0.0,0.0,0.0175,0.0373,0.0154,0.0194,4.3402,0.0348,0.0252,0.0,0.1476,2.1705,0.0011,0.1584,0.0007,0.0016,3.0697,0.0602,0.0117,0.0005,0.0117,0.0117,?,?,?,?,?,?,?,?,?,?,2.0401,0.0962,2.0,3.0,0.1683,84.2564,0.214,57.0,133.0,112.0,67.0,93.0,70.0,79.0,57.7886,0.0719,51.6173,66.8647,65.0226,52.451,60.6076,54.2262,57.2143,0.0705,0.698,0.0001,0.273,0.139,0.0115,0.1023,0.0295,0.0629,0.0001,0.3687,0.0,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,33.2124,0.1639,65.768,0.1217,65.0,57.0,75.0,1.4086,0.2585,0.866,0.0541,32.6548,0.1547,65.7976,0.109,65.5,56.0,76.0,0.9441,0.4339,0.8603,0.0448,0.6048,0.702
SAT11/random/medium/unif-k7-r89-v90-c8010-S51928934-076.SATISFIABLE.cnf,1,90.0,8010.0,90.0,8010.0,0.0,0.0,0.0112,0.3105,0.6864,0.1429,1.0,0.9997,0.0778,0.0,0.0778,0.0778,0.0,0.0,0.0,0.0,0.0778,0.0403,0.0699,0.0841,3.9008,0.0352,0.0262,0.0,0.1122,2.1754,0.0049,0.1722,0.0025,0.0069,3.1144,0.0633,0.0111,0.0,0.0111,0.0111,?,?,?,?,?,?,?,?,?,?,2.0,0.0,2.0,2.0,0.0,4385.25,0.0231,4289.0,4527.0,4527.0,4289.0,4527.0,4290.0,4435.0,31.7052,0.0174,30.8879,32.4376,32.4376,30.8879,32.4376,31.7124,31.7829,0.0707,0.7155,0.0001,0.2124,0.1465,0.0104,0.1046,0.0297,0.0645,0.0001,0.4306,0.0,0.0002,0.0001,0.0,0.0001,0.0,0.0001,10.5034,0.2451,15.3984,0.1876,15.0,12.0,19.0,1.9219,0.2967,0.8765,0.09,10.3075,0.2429,15.4183,0.1904,15.0,12.0,19.0,1.6974,0.4046,0.8731,0.0872,0.6615,0.7641
SAT11/random/medium/unif-k7-r89-v50-c4450-S1880985555-004.UNKNOWN.cnf,1,50.0,4450.0,50.0,4450.0,0.0,0.0,0.0112,0.3136,0.6788,0.1429,1.0,1.0038,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.14,0.0307,0.1312,0.1501,3.5793,0.0321,0.0235,0.0,0.0777,1.9928,0.0089,0.1539,0.0056,0.0126,2.8891,0.0638,0.011,0.0,0.011,0.011,?,?,?,?,?,?,?,?,?,?,2.0,0.0,2.0,2.0,0.0,4570.6,0.0121,4499.0,4659.0,4659.0,4499.0,4601.0,4537.0,4557.0,19.9056,0.0115,19.6339,20.3076,20.3076,19.6339,19.9622,19.7482,19.8762,0.0649,0.7137,0.0006,0.1523,0.137,0.0104,0.1034,0.0221,0.0565,0.0001,0.3085,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0001,6.8357,0.2951,8.8815,0.2328,9.0,6.0,12.0,2.1974,0.3427,0.8913,0.1145,6.3286,0.302,8.9003,0.2308,9.0,6.0,12.0,1.9658,0.423,0.8769,0.1161,0.7054,0.776
SAT11/random/large/unif-k5-r20-v1250-c25000-S871131876-087-UNKNOWN.cnf,1,1250.0,25000.0,1250.0,25000.0,0.0,0.0,0.05,0.3756,0.6514,0.2,1.0,0.8329,0.004,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.004,0.0973,0.0027,0.0058,3.6572,0.0761,0.0586,0.0,0.3488,2.9756,0.0007,0.2281,0.0003,0.0014,2.8386,0.1848,0.0137,0.0839,0.0097,0.0184,?,?,?,?,?,?,?,?,?,?,3.0,0.0,3.0,3.0,0.0,33.217,0.2711,19.0,71.0,44.0,23.0,37.0,27.0,32.0,61.3601,0.1074,45.907,78.7619,70.5217,53.5484,65.3429,56.5625,61.0385,0.1611,0.6951,0.0005,0.6114,0.3234,0.0276,0.2341,0.0712,0.1447,0.0027,0.6652,0.0001,0.02,0.0047,0.001,0.0034,0.0015,0.0023,68.0332,0.14,239.251,0.0516,240.0,223.0,255.0,1.0082,0.2235,0.856,0.0262,56.827,0.3438,238.281,0.0895,239.0,223.0,255.0,0.3383,0.776,0.8459,0.078,0.4728,0.5866
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S960198064-030.SATISFIABLE.cnf,1,550.0,2343.0,544.0,2337.0,0.011,0.0026,0.2328,0.4983,0.5829,0.0,1.0,0.6351,0.0055,0.0408,0.0055,0.0074,0.0796,0.0,0.0,0.9846,0.0055,0.2799,0.0021,0.0116,2.6777,0.2307,0.1729,0.0,1.0,3.3429,0.0028,0.4019,0.0004,0.0073,2.3436,0.5041,0.0109,0.2764,0.0043,0.0218,0.0083,0.2364,0.003,0.0163,2.9209,0.1091,0.2427,0.0541,0.25,2.2948,4.0,0.0,4.0,4.0,0.0,3822.4286,0.0281,3674.0,4014.0,4014.0,3674.0,3906.0,3736.0,3817.0,30.9712,0.1092,26.9066,37.2312,37.2312,26.9066,34.7504,28.8614,29.5637,0.4025,0.5806,0.0039,1.0,0.7287,0.0847,0.5789,0.2132,0.3953,0.0949,0.6438,0.0073,0.3393,0.1813,0.026,0.1274,0.0466,0.0839,16.9422,0.2981,120.957,0.0689,121.0,111.0,131.0,0.9114,0.2165,0.8558,0.0344,14.1506,0.2667,120.724,0.0713,121.0,110.0,132.0,0.3202,0.3846,0.8462,0.034,0.3111,0.619
SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,70.0,6230.0,70.0,6230.0,0.0,0.0,0.0112,0.3108,0.6918,0.1429,1.0,1.0028,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0393,0.0894,0.1104,3.8449,0.0337,0.0257,0.0,0.1017,2.1293,0.0069,0.1529,0.0045,0.0095,3.0286,0.0689,0.0111,0.0,0.0111,0.0111,?,?,?,?,?,?,?,?,?,?,2.0,0.0,2.0,2.0,0.0,4469.0,0.0175,4395.0,4607.0,4607.0,4395.0,4496.0,4400.0,4447.0,25.9461,0.011,25.4551,26.2427,26.2427,25.4551,26.2046,25.8541,25.9741,0.0679,0.7356,0.0005,0.194,0.1511,0.0105,0.1063,0.0245,0.0565,0.0001,0.4112,0.0,0.0002,0.0001,0.0,0.0001,0.0,0.0001,8.7252,0.2654,12.1057,0.2083,12.0,9.0,15.0,2.0295,0.3104,0.8806,0.0989,8.4841,0.2711,12.1768,0.2097,12.0,9.0,15.0,1.8323,0.4218,0.8773,0.0986,0.6771,0.7565
SAT11/random/medium/unif-k3-r4.26-v800-c3408-S1536861174-069.SATISFIABLE.cnf,1,800.0,3408.0,779.0,3387.0,0.027,0.0062,0.23,0.4949,0.5883,0.0,1.0,0.7252,0.0039,0.0689,0.0039,0.0077,0.1763,0.0,0.0,0.9593,0.0039,0.3032,0.0015,0.0097,2.7579,0.2262,0.1692,0.0,1.0,3.3549,0.0019,0.4127,0.0003,0.005,2.3869,0.5004,0.0078,0.3022,0.003,0.0192,0.006,0.249,0.0021,0.0124,3.0036,0.1046,0.2523,0.0465,0.25,2.2988,4.0167,0.0319,4.0,5.0,0.0849,1585.625,0.5855,695.0,3369.0,3206.0,724.0,2697.0,839.0,1136.0,32.4931,0.1492,26.0026,40.1961,40.0484,26.6508,37.9676,28.6412,30.6303,0.3965,0.5791,0.0003,1.0,0.7248,0.0788,0.5646,0.2238,0.3854,0.0914,0.6799,0.0032,0.408,0.1818,0.0272,0.1256,0.0446,0.0757,24.6923,0.2621,172.325,0.0569,172.0,160.0,185.0,0.8575,0.2133,0.8527,0.0297,19.5296,0.2811,171.73,0.0652,172.0,159.0,184.0,0.2634,0.4266,0.8406,0.0339,0.299,0.4884
